ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:295(wait)
1,0.051,0.051,0.563,0.563,/mnt/AB/IITB/CS765/IITB_CS765_A01/simulation.py:32(schedule_transactions)
8304,0.016,0.000,0.076,0.000,/usr/lib/python3.11/queue.py:154(get)
4,0.000,0.000,0.004,0.001,/usr/lib/python3.11/enum.py:893(_convert_)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/random.py:128(seed)
10,0.000,0.000,0.000,0.000,/usr/lib/python3.11/random.py:284(randrange)
12,0.000,0.000,0.000,0.000,/usr/lib/python3.11/random.py:385(sample)
8304,0.005,0.000,0.005,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/simulation.py:180(block_create_hook)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/random.py:480(choices)
4,0.000,0.000,0.000,0.000,/usr/lib/python3.11/enum.py:497(__new__)
2,0.000,0.000,0.001,0.001,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:1265(close)
4,0.001,0.000,0.002,0.001,/usr/lib/python3.11/enum.py:1654(convert_class)
1,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/_monitor.py:30(__init__)
8,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:186(__format__)
1,0.000,0.000,1.098,1.098,/mnt/AB/IITB/CS765/IITB_CS765_A01/simulation.py:210(main)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:945(start)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/threading.py:856(__init__)
70,0.000,0.000,0.001,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:1198(update)
1,0.000,0.000,0.000,0.000,/usr/lib/python3.11/weakref.py:289(update)
8,0.000,0.000,0.002,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:464(format_meter)
2,0.000,0.000,0.014,0.007,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:663(__new__)
2,0.000,0.000,0.000,0.000,/mnt/AB/IITB/CS765/IITB_CS765_A01/venv/lib/python3.11/site-packages/tqdm/std.py:686(_decr_instances)
